City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country,Hotel Name
3628473,San Cristobal,7.7669,-72.225,300.25,47,26,3.05,1653079425,VE,Posada plaza real
3652764,Puerto Ayora,-0.7393,-90.3518,300.13,91,53,0.89,1653079425,EC,Guide's Rest Hotel
2110227,Butaritari,3.0707,172.7902,300.67,71,14,7.96,1653079428,KI,No Hotel nearby
5404476,Ukiah,39.1502,-123.2078,299.91,18,0,1.54,1653079428,US,Economy Inn Ukiah
1632694,Pangkalanbuun,-2.6833,111.6167,296.35,98,100,0.48,1653079429,ID,Hotel Andika pangkalan bun
5106841,Albany,42.6001,-73.9662,299.2,59,98,2.68,1653079194,US,Tru by Hilton Albany Crossgates Mall
5122534,Jamestown,42.097,-79.2353,297.6,80,100,3.6,1653079430,US,DoubleTree by Hilton Jamestown
4030556,Rikitea,-23.1203,-134.9692,295.98,78,100,1.68,1653079432,PF,People ThankYou
3680090,Juradó,7.1053,-77.7641,298.16,92,99,2.91,1653079432,CO,No Hotel nearby
3374210,São Filipe,14.8961,-24.4956,296.56,70,72,3.9,1653079433,CV,Pensao Casa Alegre B&B
4020109,Atuona,-9.8,-139.0333,298.36,67,0,4.36,1653079358,PF,Maison d’hôtesTahauku
2290412,Daoukro,7.0591,-3.9631,296.46,97,98,2.04,1653079437,CI,HOTEL LA PROVIDENCE
3992842,Petatlán,17.5167,-101.2667,304.22,43,7,3.89,1653079437,MX,Hotel Del Angel
1622318,Waingapu,-9.6567,120.2641,298.5,82,92,4.07,1653079439,ID,Hotel Kaliuda Waingapu
1735106,George Town,5.4112,100.3354,300.12,93,20,0.0,1653079358,MY,Reunion Residence
5546220,Saint George,37.1041,-113.5841,297.94,12,0,5.36,1653079257,US,Best Western Coral Hills
934322,Mahébourg,-20.4081,57.7,297.73,83,40,3.6,1653079441,MU,AdmiralMahe.com
4034551,Faanui,-16.4833,-151.75,299.98,73,19,5.19,1653079504,PF,Bora Bora Bungalove
293842,Kiryat Gat,31.61,34.7642,299.48,35,98,3.58,1653079505,IL,Desert Gat
4036284,Alofi,-19.0595,-169.9187,298.09,94,40,2.57,1653079286,NU,Taloa Heights
4004293,Ixtapa,20.7,-105.2,305.86,36,1,3.9,1653079506,MX,Container Inn Hotel
1244926,Hambantota,6.1241,81.1185,299.2,85,69,6.48,1653079359,LK,The Peacock Beach Hotel Hambantota
2088659,Panguna,-6.3164,155.4848,294.66,93,37,0.71,1653079507,PG,DJ Garden Lodge
3932145,Pisco,-13.7,-76.2167,295.18,60,0,5.14,1653079507,PE,Embassy Beach
3868633,Vallenar,-28.5708,-70.7581,297.74,20,0,2.25,1653079508,CL,Humacao Bed & Breakfast
3665016,Benjamin Constant,-4.3831,-70.0311,299.22,61,75,1.54,1653079508,BR,Hotel Castro Alves
1214026,Sabang,5.8933,95.3214,301.82,76,100,6.82,1653079508,ID,Edo homestey
3388456,São José da Coroa Grande,-8.8978,-35.1478,298.28,86,74,2.28,1653079509,BR,Pousada e Receptivo Stella Maris
110690,Faya,18.3851,42.4509,295.21,15,0,3.61,1653079510,SA,Beautat Hotel
110690,Abhā,18.2164,42.5053,295.05,9,0,2.57,1653079592,SA,OYO 467 Al Dahya Hotel
2134814,Sola,-13.8833,167.55,300.85,76,17,4.86,1653079512,VU,Totolag Homestay
4032243,Vaini,-21.2,-175.2,298.24,83,40,2.06,1653079513,TO,Keleti Beach Resort
1529376,Korla,41.7597,86.1469,296.42,27,63,5.07,1653079514,CN,Ross Quest Hotel
1242110,Kalmunai,7.4167,81.8167,300.33,75,69,2.13,1653079515,LK,VS Villa
1792916,Tianpeng,30.9866,103.9393,294.66,71,100,0.79,1653079515,CN,Panda Zai Hotel
2136150,Luganville,-15.5333,167.1667,299.28,83,1,1.44,1653079515,VU,Beachfront Resort
4033557,Tautira,-17.7333,-149.15,299.51,72,12,3.85,1653079290,PF,HOTEL PUEU VILLAGE
286987,Nizwá,22.9333,57.5333,304.21,19,2,2.06,1653079517,OM,Antique Inn - Nizwa
933995,Souillac,-20.5167,57.5167,297.36,83,40,3.6,1653079518,MU,SkylineInn Hotel
2094027,Kieta,-6.2167,155.6333,299.65,83,42,1.61,1653079518,PG,Rising Sun Lodge
1636022,Martapura,-3.4167,114.85,297.2,100,20,0.51,1653079519,ID,Hotel Raudhatul Husna
5848280,Kapaa,22.0752,-159.319,301.55,77,75,3.09,1653079519,US,Hotel Coral Reef
935215,Saint-Philippe,-21.3585,55.7679,294.92,82,40,5.1,1653079519,RE,Domaine du Vacoa
295277,Eilat,29.5581,34.9482,304.06,20,0,3.6,1653079522,IL,Classic Inn Hotel - Hotel Classic No
